id,name,address_prefix,city,state,zip,latitude,longitude,street,more_info_url,indoor,outdoor,available_federal,available_academia,available_industry,Technology_WiFi,Technology_SATCOM,Technology_WiMAX,Technology_UMTS,Technology_ZigBee,Technology_Bluetooth,Technology_SDR,Technology_TDMA,Technology_DAMA,Technology_mini-CDL,Technology_TTNT,Technology_QNT,Technology_LegacyHF,Technology_VHF,Technology_UHF,Technology_117G_radios,Technology_WNaN_radios,Technology_microwave,Technology_optical,Technology_GNU_radios,Technology_LTE,Technology_Project25LMR,Technology_U-NIIDynamicFrequencySelectionRadio,Technology_Point_to_Point_Microwave,Technology_WiredMPLS,Technology_VirtualModeledWiFi,Technology_Tactical_Radio,freq30M_300M,freq300M_3G,freq3G_30G,freq30G_300G,freq0_30M,GENI
27,"INSTOOLS, ISM Infrastructure",University of Kentucky,Lexington,KY,40506,38.038835,-84.504866,410 Administration Dr,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=INSTOOLS,_ISM_Infrastructure",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
28,"KANSEI, OTM",Ohio State University,Columbus,OH,43210,40.006103,-83.016536,281 W. Lane Ave.,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=KANSEI,_OTM",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
29,MAX,University of Maryland,Collge Park,MD,20740,38.972055,-76.922311,5825 University Research Court,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=MAX,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
30,MeasurementSys,University of Wisconsin-Madison,Madison,WI,53706,43.071826,-89.403275,1025 West Johnson Street,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=MeasurementSys,NO,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
31,"MillionNodeGENI, Security",University of Washington,Seattle,WA,98195,47.654482,-122.32088,University of Washington,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=MillionNodeGENI,_Security",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
32,"ORBIT, WIMAX",Rutgers University,North Brunswick,NJ,8902,35.922542,-78.543594,671 Route 1 South,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ORBIT,_WiMAX",NO,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
33,ORCA/BEN,The Renaissance Computing Institute (RENCI),Durham,NC,,36.002338,-78.93731,390 Science Drive Extension West Campus,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ORCA/BEN,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
34,"PlanetLab, Scaffold, Federation",Princeton University,Princeton,NJ,8542,40.348642,-74.659301,Nassau Hall,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=PlanetLab,_Scaffold,_Federation",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
35,ProtoGENI,University of Utah,Salt Lake City,UT,84112,40.768614,-111.846271,50 S. Central Campus Drive,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ProtoGENI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
36,PROVSERV,University of Arizona,Tucson,AZ,85721,32.242918,-110.949006,1730 North Vine Avenue,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=PROVSERV,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
